name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
changsha,2023-06-16,32,23.4,26.4,36.7,23.4,27.9,22.9,81.6,2.1,100,33.33,rain,0,0,40.3,18.4,72.9,1005.7,81.1,14.2,141.9,12.2,8,30,2023-06-16T05:31:03,2023-06-16T19:26:31,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,"remote,ZGHA"
changsha,2023-06-17,25.9,22.2,23.9,25.9,22.2,23.9,22.8,93.5,8,90.5,66.67,rain,0,0,34.9,15.8,125.2,1004.8,98.6,20.9,48.9,4.1,3,10,2023-06-17T05:31:10,2023-06-17T19:26:49,0.96,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
changsha,2023-06-18,30.5,22.4,24.9,35.8,22.4,25.9,23.3,91.4,12.5,90.5,62.5,rain,0,0,26.6,15.5,218.9,1003.6,99.7,16.5,133.9,11.4,7,30,2023-06-18T05:31:18,2023-06-18T19:27:06,0,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
changsha,2023-06-19,22.4,21,21.5,22.4,21,21.5,20.9,96.6,24.9,90.5,83.33,rain,0,0,26.6,15.5,316.2,1003.5,100,14.2,39.9,3.6,2,10,2023-06-19T05:31:28,2023-06-19T19:27:22,0.03,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
changsha,2023-06-20,31.6,21.4,25.8,35.1,21.4,27.1,21.9,81.2,0.3,76.2,12.5,rain,0,0,21.2,10.4,269.7,1003.2,74.7,24.1,278.3,23.9,10,10,2023-06-20T05:31:38,2023-06-20T19:27:37,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
changsha,2023-06-21,28.3,23.8,25.3,33.2,23.8,26.2,23.8,91.4,9.5,71.4,25,rain,0,0,23.8,16.6,160,1003.1,98.1,18.8,173.5,15,7,30,2023-06-21T05:31:50,2023-06-21T19:27:51,0.1,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
changsha,2023-06-22,27.2,23.6,25,30.8,23.6,25.5,23.7,92.8,2.2,90.5,20.83,rain,0,0,21.7,12.6,159.4,1003,88.5,24,109.3,9.6,3,30,2023-06-22T05:32:03,2023-06-22T19:28:03,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
changsha,2023-06-23,25.4,23,24,25.4,23,24,23,94,3.2,76.2,29.17,rain,0,0,22.7,12.6,126.8,1003.6,99.1,21.7,53.8,4.8,2,10,2023-06-23T05:32:17,2023-06-23T19:28:15,0.16,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
changsha,2023-06-24,25.5,22.8,23.9,25.5,22.8,23.9,23.2,95.9,7.8,71.4,33.33,rain,0,0,34.2,17.6,158,1005,96.6,18.8,71,6,4,10,2023-06-24T05:32:32,2023-06-24T19:28:25,0.2,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
changsha,2023-06-25,25.2,23.2,24.1,25.2,23.2,24.1,23.4,95.8,16,71.4,33.33,rain,0,0,32.4,10.4,165.7,1004.9,100,17.9,32,2.7,1,10,2023-06-25T05:32:48,2023-06-25T19:28:34,0.23,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
changsha,2023-06-26,29.9,23.3,26,36.7,23.3,27.8,23.9,88.3,16.5,47.6,33.33,rain,0,0,41.4,14,183.8,1005.5,52.3,17.5,230.5,20,9,60,2023-06-26T05:33:04,2023-06-26T19:28:42,0.25,"Rain, Partially cloudy",Clearing in the afternoon with storms possible.,rain,
changsha,2023-06-27,34.4,24.2,29,41.1,24.2,32.5,23.8,75.2,0,38.1,0,,0,0,38.5,18.4,167.1,1005,20.7,24.1,326.9,27.9,9,60,2023-06-27T05:33:22,2023-06-27T19:28:49,0.29,Partially cloudy,Partly cloudy throughout the day with storms possible.,partly-cloudy-day,
changsha,2023-06-28,33.9,25.4,29.1,39.1,25.4,32,22.5,68.7,0,57.1,0,rain,0,0,45.4,24.1,173,1005.1,93.8,24.1,314,27.3,9,30,2023-06-28T05:33:41,2023-06-28T19:28:55,0.33,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
changsha,2023-06-29,33.9,25,29.2,37.6,25,31.3,21.6,64.9,0,47.6,0,rain,0,0,44.5,19.8,175.7,1004.6,77.1,24.1,326.1,28.2,9,10,2023-06-29T05:34:01,2023-06-29T19:28:59,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
changsha,2023-06-30,35.4,25.8,30.3,39.6,25.8,33.3,22.3,63.5,0,38.1,0,,0,0,31.3,17.3,177.5,1001.9,59,24.1,324.3,27.9,9,10,2023-06-30T05:34:21,2023-06-30T19:29:02,0.39,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
